"101686","101003002","加强版","加强版","101624","3","JQB","启用","曹红娟","","2014-08-07 10:22:30.0","",""
"101687","101003003","典藏版","典藏版","101624","3","DCB","启用","曹红娟","","2014-08-07 10:22:35.0","",""
"101688","104002002","笔记本","笔记本","101640","3","BJB","启用","曹红娟","","2014-08-07 10:27:21.0","",""
"101689","104002003","平板电脑","平板电脑","101640","3","PBDN","启用","曹红娟","","2014-08-07 10:27:28.0","",""
"101690","104002004","电脑一体机","电脑一体机","101640","3","DNYTJ","启用","曹红娟","","2014-08-07 10:27:34.0","",""
"101691","104003001","录音笔","录音笔","101641","3","LYB","启用","曹红娟","","2014-08-07 10:27:59.0","",""
"101692","104003002","单反数码相机","单反数码相机","101641","3","DFSMXJ","启用","曹红娟","","2014-08-07 10:28:07.0","",""
"101693","104003003","摄像机","摄像机","101641","3","SXJ","启用","曹红娟","","2014-08-07 10:28:15.0","",""
"101694","104003004","照相机","照相机","101641","3","ZXJ","启用","曹红娟","","2014-08-07 10:28:21.0","",""
"101695","104004001","投影产品","投影产品","101642","3","TYCP","启用","曹红娟","","2014-08-07 10:28:29.0","",""
"101696","104005001","一体机产品","一体机产品","101643","3","YTJCP","启用","曹红娟","","2014-08-07 10:28:36.0","",""
"101697","104006001","交换机","交换机","101644","3","JHJ","启用","曹红娟","","2014-08-07 10:28:44.0","",""
"101698","104006002","路由器","路由器","101644","3","LYQ","启用","曹红娟","","2014-08-07 10:28:51.0","",""
"101699","104006003","功放","功放","101644","3","GF","启用","曹红娟","","2014-08-07 10:28:57.0","",""
"101700","104006004","音箱","音箱","101644","3","YX","启用","曹红娟","","2014-08-07 10:29:04.0","",""
"101701","104006005","其他","其他","101644","3","QT","启用","曹红娟","","2014-08-07 10:29:12.0","",""
"101702","104007001","监控产品","监控产品","101645","3","JKCP","启用","曹红娟","","2014-08-07 10:29:20.0","",""
"101652","101001002","其他计算器","其他计算器","101622","3","QTJSQ","启用","曹红娟","","2014-08-07 10:21:22.0","",""
"101685","101003001","普通版","普通版","101624","3","PTB","启用","曹红娟","","2014-08-07 10:22:23.0","",""
"101703","104008001","汉王产品","汉王产品","101646","3","HWCP","启用","曹红娟","","2014-08-07 10:29:25.0","",""
"101707","104012001","综合数码产品","综合数码产品","101650","3","ZHSMCP","启用","曹红娟","","2014-08-07 10:29:49.0","",""
"101623","101002","天闻考试笔袋","天闻考试笔袋","101618","2","TWKSBD","启用","曹红娟","","2014-08-06 11:43:34.0","",""
"101624","101003","天闻书法套装","天闻书法套装","101618","2","TWSFTZ","启用","曹红娟","","2014-08-06 11:43:26.0","",""
"101625","101004","学生用品","学生用品","101618","2","XSYP","启用","曹红娟","","2014-05-28 16:09:10.0","",""
"101626","101005","办公用品","办公用品","101618","2","BGYP","启用","曹红娟","","2014-05-28 16:09:22.0","",""
"101627","101006","体育用品","体育用品","101618","2","TYYP","启用","曹红娟","","2014-08-06 11:43:16.0","",""
"101628","101007","百货","百货","101618","2","BH","启用","曹红娟","","2014-08-06 11:43:10.0","",""
"101629","101008","综合文化用品","综合文化用品","101618","2","ZHWHYP","启用","曹红娟","","2014-08-06 11:43:06.0","",""
"101630","102001","学生课桌椅","学生课桌椅","101619","2","XSKZY","启用","曹红娟","","2014-08-06 11:29:39.0","",""
"101631","102002","幼教设备","幼教设备","101619","2","YJSB","启用","曹红娟","","2014-05-28 15:49:26.0","",""
"101632","102003","铁架床","铁架床","101619","2","TJC","启用","曹红娟","","2014-08-06 11:29:29.0","",""
"101633","102004","黑板产品","黑板产品","101619","2","HBCP","启用","曹红娟","","2014-08-06 11:29:35.0","",""
"101634","103001","天闻点读笔","天闻点读笔","101620","2","TWDDB","启用","曹红娟","","2014-05-28 15:53:25.0","",""
"101635","103002","畅言点读笔","畅言点读笔","101620","2","CYDDB","启用","曹红娟","","2014-08-06 11:44:25.0","",""
"101636","103003","外研通点读笔","外研通点读笔","101620","2","WYTDDB","启用","曹红娟","","2014-08-06 11:44:21.0","",""
"101637","103004","配套用书","配套用书","101620","2","PTYS","启用","曹红娟","","2014-08-06 11:44:17.0","",""
"101638","103005","综合电教产品","综合电教产品","101620","2","ZHDJCP","启用","曹红娟","","2014-05-28 16:00:26.0","",""
"101639","104001","手机产品","手机产品","101621","2","SJCP","启用","曹红娟","","2014-05-28 16:06:14.0","",""
"101640","104002","电脑产品","电脑产品","101621","2","DNCP","启用","曹红娟","","2014-06-30 15:34:20.0","",""
"101641","104003","摄照产品","摄照产品","101621","2","SZCP","启用","曹红娟","","2014-06-30 15:34:03.0","",""
"101642","104004","投影产品","投影产品","101621","2","TYCP","启用","曹红娟","","2014-08-06 11:44:08.0","",""
"101643","104005","一体机产品","一体机产品","101621","2","YTJCP","启用","曹红娟","","2014-08-06 11:44:03.0","",""
"101644","104006","网络产品","网络产品","101621","2","WLCP","启用","曹红娟","","2014-08-06 11:43:58.0","",""
"101645","104007","监控产品","监控产品","101621","2","JKCP","启用","曹红娟","","2014-08-06 11:43:52.0","",""
"101646","104008","汉王产品","汉王产品","101621","2","HWCP","启用","曹红娟","","2014-08-06 11:43:48.0","",""
"101647","104009","家电","家电","101621","2","JD","启用","曹红娟","","2014-08-06 11:28:34.0","",""
"101648","104010","数码配件产品","数码配件产品","101621","2","SMPJCP","启用","曹红娟","","2014-05-30 15:52:36.0","",""
"101649","104011","电脑外设产品","电脑外设产品","101621","2","DNWSCP","启用","曹红娟","","2014-08-06 11:43:42.0","",""
"101650","104012","综合数码产品","综合数码产品","101621","2","ZHSMCP","启用","曹红娟","","2014-08-05 17:01:01.0","",""
"101651","101001001","天闻计算器","天闻计算器","101622","3","TWJSQ","启用","曹红娟","","2014-08-07 10:21:11.0","",""
"101704","104009001","家电","家电","101647","3","JD","启用","曹红娟","","2014-08-07 10:29:29.0","",""
"101705","104010001","数码配件产品","数码配件产品","101648","3","SMPJCP","启用","曹红娟","","2014-08-07 10:29:38.0","",""
"101706","104011001","电脑外设产品","电脑外设产品","101649","3","DNWSCP","启用","曹红娟","","2014-08-07 10:29:44.0","",""
"101684","104002001","台式机","台式机","101640","3","TSJ","启用","曹红娟","","2014-08-07 10:27:14.0","",""
"101682","103005001","综合电教产品","综合电教产品","101638","3","ZHDJCP","启用","曹红娟","","2014-08-07 10:26:59.0","",""
"101683","104001001","手机产品","手机产品","101639","3","SJCP","启用","曹红娟","","2014-08-07 10:27:08.0","",""
"101659","101006001","体育用品","体育用品","101627","3","TYYP","启用","曹红娟","","2014-08-07 10:23:09.0","",""
"101660","101007001","百货","百货","101628","3","BH","启用","曹红娟","","2014-08-07 10:23:18.0","",""
"101661","101008001","综合文化用品","综合文化用品","101629","3","ZHWHYP","启用","曹红娟","","2014-08-07 10:23:27.0","",""
"101669","102001001","塑钢课桌椅","塑钢课桌椅","101630","3","SGKZY","启用","曹红娟","","2014-08-07 10:22:45.0","",""
"101670","102001002","钢木课桌椅","钢木课桌椅","101630","3","GMKZY","启用","曹红娟","","2014-08-07 10:23:38.0","",""
"101671","102002001","幼教设备","幼教设备","101631","3","YJSB","启用","曹红娟","","2014-08-07 10:22:40.0","",""
"101672","102003001","铁架床","铁架床","101632","3","TJC","启用","曹红娟","","2014-08-07 10:21:04.0","",""
"101673","102004001","黑板产品","黑板产品","101633","3","HBCP","启用","曹红娟","","2014-08-07 10:20:57.0","",""
"101674","103001001","小学版","小学版","101634","3","XXB","启用","曹红娟","","2014-08-07 10:25:42.0","",""
"101675","103001002","中学版","中学版","101634","3","ZXB","启用","曹红娟","","2014-08-07 10:25:51.0","",""
"101676","103001003","教学版","教学版","101634","3","JXB","启用","曹红娟","","2014-08-07 10:25:56.0","",""
"101677","103002001","畅言点读笔","畅言点读笔","101635","3","CYDDB","启用","曹红娟","","2014-08-07 10:26:19.0","",""
"101678","103003001","外研通点读笔","外研通点读笔","101636","3","WYTDDB","启用","曹红娟","","2014-08-07 10:26:12.0","",""
"101679","103004001","天闻点读笔配书","天闻点读笔配书","101637","3","TWDDBPS","启用","曹红娟","","2014-08-07 10:26:31.0","",""
"101680","103004002","畅言点读笔配书","畅言点读笔配书","101637","3","CYDDBPS","启用","曹红娟","","2014-08-07 10:26:39.0","",""
"101681","103004003","外研通点读笔配书","外研通点读笔配书","101637","3","WYTDDBPS","启用","曹红娟","","2014-08-07 10:26:45.0","",""
"101654","101002002","简装版","简装版","101623","3","JZB","启用","曹红娟","","2014-08-07 10:21:50.0","",""
"101655","101002003","特殊版","特殊版","101623","3","TSB","启用","曹红娟","","2014-08-07 10:22:06.0","",""
"101656","101002004","其他单品","其他单品","101623","3","QTDP","启用","曹红娟","","2014-08-07 10:22:14.0","",""
"101657","101004001","学生用品","学生用品","101625","3","XSYP","启用","曹红娟","","2014-08-07 10:22:51.0","",""
"101658","101005001","办公用品","办公用品","101626","3","BGYP","启用","曹红娟","","2014-08-07 10:22:56.0","",""
"101622","101001","学生计算器","学生计算器","101618","2","XSJSQ","启用","曹红娟","","2014-08-06 11:29:48.0","",""
"101620","103","电教产品","电教产品","","1","DJCP","启用","曹红娟","","2014-05-23 00:00:00.0","",""
"101621","104","数码产品","数码产品","","1","SMCP","启用","曹红娟","","2014-05-23 00:00:00.0","",""
"101618","101","文化用品","文化用品","","1","WHYP","启用","曹红娟","","2014-05-23 00:00:00.0","",""
"101619","102","数学基础设备","数学基础设备","","1","JXJCSB","启用","曹红娟","","2014-05-23 00:00:00.0","",""
"101653","101002001","精装版","精装版","101623","3","JZB","启用","曹红娟","","2014-08-07 00:00:00.0","",""
"101735","101012001","乐器","乐器","101734","3","YQ","启用","曹红娟","","2014-12-10 14:37:03.0","",""
"101734","101012","乐器","乐器","101618","2","YQ","启用","曹红娟","","2014-12-10 14:36:24.0","",""
"101736","101009004","教材同步版","教材同步版","101720","3","JCTBB","启用","曹红娟","","2015-09-07 15:17:24.0","",""
"101721","101009001","楷书版","楷书版","101720","3","KSB","启用","曹红娟","","2014-10-08 17:13:49.0","",""
"101730","101007002","玩具","玩具","101628","3","WJ","启用","黄永利","","2014-10-14 09:20:55.0","",""
"101722","101009002","行书版","行书版","101720","3","XSB","启用","曹红娟","","2014-10-08 17:13:44.0","",""
"101720","101009","一手好字硬笔书法套装","一手好字硬笔书法套装","101618","2","YSHZYBSFTZ","启用","曹红娟","","2014-10-08 17:08:35.0","",""
"101723","101010","布克作业本","布克作业本","101618","2","BKZYB","启用","曹红娟","","2014-10-08 17:11:08.0","",""
"101724","101010001","小学版","小学版","101723","3","XXB","启用","曹红娟","","2014-10-08 17:13:30.0","",""
"101725","101010002","中学版","中学版","101723","3","ZXB","启用","曹红娟","","2014-10-08 17:13:36.0","",""
"101719","104002005","服务器","服务器","101640","3","FWQ","启用","曹红娟","","2014-10-08 00:00:00.0","",""
"101726","103001004","天闻点读笔配件","天闻点读笔配件","101634","3","TWDDBPJ","启用","曹红娟","","2014-10-11 16:40:53.0","",""
"101727","101009003","其他单品","其他单品","101720","3","QTDP","启用","曹红娟","","2014-10-11 16:40:41.0","",""
"101732","101011","工艺品","工艺品","101618","2","GYP","启用","曹红娟","","2014-12-08 13:24:32.0","",""
"101733","101011001","工艺品","工艺品","101732","3","GYP","启用","曹红娟","","2014-12-08 13:25:18.0","",""
